-- COMPILE DATE : Ver:10/21, BuildDate:Nov 29 2011 16:28:42, BuildVer:DIST --
[00:08:-100][S][KICKVOTE_RESULT] KickedUser:bwzj13d74dd(UID:1625103) Reason:0, Agreement:5, Disagreement:1
[04:45:-100][S][KICKVOTE_RESULT] KickedUser:bwzr12deca3(UID:1413477) Reason:0, Agreement:8, Disagreement:2
[05:04:-100][2.135.30.210:40389:2114048:22]KILL USER : (KillReasoun : 22)(1) 
[05:07:-100][213.87.74.230:32840:1963293:22]KILL USER : (KillReasoun : 22)(1) 
[05:07:-100][188.123.241.150:54163:2456073:22]KILL USER : (KillReasoun : 22)(1) 
[05:15:-100][46.146.148.96:45837:2952628:22]KILL USER : (KillReasoun : 22)(1) 
[05:16:-100][79.137.204.168:55501:1451879:22]KILL USER : (KillReasoun : 22)(1) 
[05:29:-100][95.37.214.241:29961:2716178:22]KILL USER : (KillReasoun : 22)(1) 
[05:31:-100][46.249.0.9:48805:1038800:22]KILL USER : (KillReasoun : 22)(1) 
[05:34:-100][77.91.198.25:733:1106946:22]KILL USER : (KillReasoun : 22)(1) 
[05:38:0019][178.94.2.61:52741:-1:7][ERROR]SendErrorMessage(UID:-1, Protocol:43017, BackProtocol:0,timestamp(4), Error:800010d3, KillReason:7, Message:)
[05:40:-100][31.181.113.217:50510:2354749:22]KILL USER : (KillReasoun : 22)(1) 
[05:40:-100][178.94.2.61:52741:-1:7]KILL USER : (KillReasoun : 7)(16512) 
[05:45:-100][178.125.233.6:5834:2932390:22]KILL USER : (KillReasoun : 22)(1) 
[05:46:-100][93.116.64.12:12482:262852:22]KILL USER : (KillReasoun : 22)(1) 
[05:48:-100][85.192.190.237:63493:2296423:22]KILL USER : (KillReasoun : 22)(1) 
[05:50:-100][217.118.79.20:44735:2651496:22]KILL USER : (KillReasoun : 22)(1) 
[05:51:-100][109.105.130.15:60364:-1:2][ERROR]SendErrorMessage(UID:-1, Protocol:0, BackProtocol:0,timestamp(41), Error:800010af, KillReason:2, Message:)
[05:51:0036][79.164.58.210:27351:2575295:7][ERROR]SendErrorMessage(UID:2575295, Protocol:3855, BackProtocol:3855,timestamp(0), Error:80001000, KillReason:7, Message:)
[05:53:-100][79.164.58.210:27351:2575295:7]KILL USER : (KillReasoun : 7)(16525) 
[05:53:-100][109.105.130.15:60364:-1:2]KILL USER : (KillReasoun : 2)(16525) 
[05:58:-100][93.185.192.84:61962:2723114:22]KILL USER : (KillReasoun : 22)(1) 
[06:09:-100][81.211.255.6:15724:2680371:22]KILL USER : (KillReasoun : 22)(1) 
[06:10:-100][31.163.56.184:27106:2953539:22]KILL USER : (KillReasoun : 22)(1) 
[06:15:-100][77.91.198.25:35039:-1:2][ERROR]SendErrorMessage(UID:-1, Protocol:0, BackProtocol:0,timestamp(41), Error:800010af, KillReason:2, Message:)
[06:15:0033][188.227.216.148:12082:-1:7][ERROR]SendErrorMessage(UID:-1, Protocol:24273, BackProtocol:0,timestamp(7), Error:800010d3, KillReason:7, Message:)
[06:17:-100][77.91.198.25:35039:-1:2]KILL USER : (KillReasoun : 2)(16549) 
[06:17:-100][188.227.216.148:12082:-1:7]KILL USER : (KillReasoun : 7)(16549) 
[06:24:-100][79.105.239.240:26885:2024485:22]KILL USER : (KillReasoun : 22)(1) 
[06:26:-100][178.129.184.182:60170:319816:22]KILL USER : (KillReasoun : 22)(1) 
[06:27:-100][S][KICKVOTE_RESULT] KickedUser:bwzp19bf4fe(UID:2689379) Reason:0, Agreement:3, Disagreement:1
