[MAI|[00:00]]-- COMPILE DATE : Ver:3/18, BuildDate:Mar 18 2011 18:11:26 --
[R03|[00:00]][ERROR] GetRelayTarget IPPORT Slot:2, Recv-149296222,49780, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:4, Recv-2104224589,49780, Server-0,0
[CON|[00:00]][Warring] OnUpdate RevokeGroup Idx:1772, Create:83974, Server:85110, Port:40007
[R02|[00:00]][ERROR] GetRelayTarget IPPORT Slot:15, Recv-691948722,49780, Server-0,0
[R02|[00:00]][ERROR] GetRelayTarget IPPORT Slot:15, Recv-691948722,49780, Server-0,0
[R02|[00:00]][ERROR] GetRelayTarget IPPORT Slot:15, Recv-691948722,49780, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R02|[00:00]][ERROR] GetRelayTarget IPPORT Slot:0, Recv-580835646,20263, Server-0,0
[R02|[00:00]][ERROR] GetRelayTarget IPPORT Slot:0, Recv-580835646,20263, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
[R04|[00:00]][ERROR] GetRelayTarget IPPORT Slot:11, Recv--514754855,6103, Server-0,0
